source_layer,source_feature,target_layer,target_feature,correlation,type
4,4257,4,4807,1.0,within_layer
4,3911,4,4807,0.9999999999999994,within_layer
4,4257,4,3911,0.9999999999999984,within_layer
4,7229,4,13350,0.9994758644676737,within_layer
4,15896,4,1637,0.9574897720859803,within_layer
4,15131,4,15896,0.9565261609950892,within_layer
4,4223,4,10876,0.935157946771609,within_layer
4,15131,4,1637,0.8981718356963977,within_layer
4,4386,4,15896,0.8783341649531697,within_layer
4,1637,4,6680,0.8713977806310126,within_layer
4,4386,4,1637,0.8669300499078347,within_layer
4,4386,4,15131,0.8613043177488471,within_layer
4,15896,4,6680,0.8567865713549611,within_layer
4,1602,4,15131,0.8436714681506692,within_layer
4,1602,4,15896,0.8394921991552746,within_layer
4,15131,4,6680,0.8060468493869828,within_layer
4,8465,4,1602,0.7980904961950733,within_layer
4,1602,4,4386,0.7708248632364392,within_layer
4,1602,4,1637,0.7706892032583401,within_layer
4,4386,4,6680,0.7585218479274215,within_layer
4,15131,4,16146,0.7560857160139381,within_layer
4,1701,4,15896,0.7481618288891725,within_layer
4,1701,4,15131,0.7389892450361001,within_layer
4,4223,4,4132,0.7384424012296944,within_layer
4,16146,4,6680,0.7380712570075203,within_layer
4,5087,4,7229,0.7349555085812686,within_layer
4,8465,4,15131,0.7327860632641264,within_layer
4,10876,4,4132,0.730765515088582,within_layer
4,1602,4,6680,0.7299626512596962,within_layer
4,8465,4,15896,0.7271738001272786,within_layer
4,175,4,1602,0.7206059390297834,within_layer
4,16146,4,15896,0.7137917593154403,within_layer
4,5087,4,13350,0.712617819538894,within_layer
4,13350,4,8429,0.6917650098049731,within_layer
4,175,4,8465,0.6917125200878487,within_layer
4,7229,4,8429,0.6907794610694931,within_layer
4,1701,4,1602,0.6903780761341183,within_layer
4,7229,4,7023,0.6786776566357184,within_layer
4,1701,4,1637,0.677322906256078,within_layer
4,16146,4,1637,0.6771146238550022,within_layer
4,4386,4,16146,0.6757996280879234,within_layer
4,13350,4,7023,0.6751149013207707,within_layer
4,175,4,15896,0.66696894116654,within_layer
4,1701,4,4386,0.6603743494431857,within_layer
4,175,4,15131,0.6582509019496438,within_layer
4,1602,4,16146,0.6569983112180808,within_layer
4,8465,4,1637,0.6544461193815714,within_layer
4,8465,4,1701,0.6441807165862022,within_layer
4,8429,4,7023,0.6440852512496289,within_layer
4,4245,4,12690,-0.6388387594081246,within_layer
4,15790,4,8258,0.6297082081947952,within_layer
4,12999,4,16201,0.627781181693737,within_layer
4,8465,4,4386,0.6178147395161355,within_layer
4,175,4,1701,0.6128492408454469,within_layer
4,9253,4,10928,0.6116372664143789,within_layer
4,1701,4,6680,0.6085119537233474,within_layer
4,175,4,11570,0.6046128449276891,within_layer
4,11570,4,15896,0.5946492001868408,within_layer
4,8465,4,6680,0.5945428530052439,within_layer
4,16201,4,11570,0.5847534275594463,within_layer
4,1701,4,11570,0.5847177700043679,within_layer
4,175,4,7303,0.5823353441249882,within_layer
4,175,4,1637,0.5766474705911108,within_layer
4,11570,4,15131,0.5700314575105384,within_layer
4,5087,4,7023,0.5659759558479676,within_layer
4,12140,4,16201,0.5586407758410332,within_layer
4,7303,4,10876,0.5472316627303002,within_layer
4,11570,4,1637,0.545249470683246,within_layer
4,6409,4,10928,0.5440050746571089,within_layer
4,16348,4,12532,0.5405733787149759,within_layer
4,175,4,4386,0.5342996088845953,within_layer
4,1602,4,11570,0.5277619675433092,within_layer
4,11570,4,6680,0.5158244302178059,within_layer
4,10926,4,8258,0.5064845277462353,within_layer
4,12999,4,12140,0.5060236074284908,within_layer
4,8465,4,16146,0.5008602207900537,within_layer
4,1637,4,5301,-0.4897730972660568,within_layer
4,8465,4,11570,0.48331505902307564,within_layer
4,16201,4,4314,0.48257010835486036,within_layer
4,16201,4,8465,0.48256722027715,within_layer
4,5087,4,8429,0.4794636468441236,within_layer
4,175,4,6680,0.4786941323366001,within_layer
4,175,4,16201,0.47370084636346893,within_layer
4,4245,4,16146,-0.4716339504743076,within_layer
4,4223,4,7303,0.45634973219550146,within_layer
4,12999,4,175,0.4530413805545993,within_layer
4,1701,4,16146,0.4462129734882137,within_layer
4,11137,4,1602,0.44074237480984846,within_layer
4,4245,4,6680,-0.4325217331653571,within_layer
4,175,4,16146,0.42887347108373136,within_layer
4,3911,4,11137,0.42076617517178705,within_layer
4,4807,4,11137,0.42076617517178705,within_layer
4,4257,4,11137,0.420766175171787,within_layer
4,12999,4,11570,0.41705943521339967,within_layer
4,7303,4,15131,0.40943692070447607,within_layer
4,4386,4,5301,-0.40753056690947204,within_layer
4,4275,4,6680,-0.40443504721621826,within_layer
4,7303,4,15896,0.40079064418435045,within_layer
4,16201,4,1602,0.40043616619909267,within_layer
4,7303,4,1701,0.3974613521516576,within_layer
4,15896,4,5301,-0.3950555768726708,within_layer
4,4386,4,12131,0.3915036899508065,within_layer
4,12140,4,4314,0.389262518108488,within_layer
4,11137,4,16146,0.38855229378185113,within_layer
4,7023,4,14408,0.3832801272569887,within_layer
4,4275,4,4245,0.3792815714265219,within_layer
4,7303,4,1602,0.378973188356106,within_layer
4,10926,4,14408,0.3785407254771559,within_layer
4,16201,4,1701,0.37190669631119594,within_layer
4,11137,4,6680,0.3706343069864205,within_layer
4,8258,4,14408,0.36565901763791914,within_layer
4,11137,4,15131,0.35947707659577954,within_layer
4,7023,4,16201,0.35734750385261116,within_layer
4,3911,4,8465,0.35453674714317845,within_layer
4,4257,4,8465,0.35453674714317834,within_layer
4,4807,4,8465,0.35453674714317807,within_layer
4,16201,4,15131,0.35282040701279765,within_layer
4,15131,4,5301,-0.35281879571584257,within_layer
4,7303,4,8465,0.3500750759351136,within_layer
4,12999,4,8465,0.34980930406207217,within_layer
4,7303,4,6680,0.34784472886501927,within_layer
4,11570,4,4386,0.34514090794968943,within_layer
4,11137,4,4386,0.34317775050828475,within_layer
4,7303,4,16146,0.3420391844771292,within_layer
4,11137,4,1637,0.3417206326000554,within_layer
4,4054,4,1637,0.34081301468131986,within_layer
4,16201,4,15896,0.3390343686518305,within_layer
4,4054,4,15896,0.337581124063545,within_layer
4,12999,4,1602,0.3357934816968629,within_layer
4,11570,4,16146,0.33512058653097887,within_layer
4,8258,4,12690,0.3343069068777734,within_layer
4,11137,4,15896,0.33335758891311507,within_layer
4,7303,4,1637,0.3285256165249404,within_layer
4,8429,4,10876,0.32805225615942313,within_layer
4,1701,4,4054,0.3247956922051169,within_layer
4,7303,4,4386,0.32371962929828296,within_layer
4,12131,4,4054,0.32364359832880046,within_layer
4,12131,4,1637,0.32017744664376674,within_layer
4,10926,4,12131,0.3142861776791841,within_layer
4,8258,4,12131,0.31343683524994437,within_layer
4,11111,4,4245,0.3130171878357775,within_layer
4,7303,4,4132,0.3125264141226153,within_layer
4,16201,4,6680,0.3053057459053296,within_layer
4,12131,4,15896,0.30344242135542354,within_layer
4,11137,4,8465,0.3030875902272114,within_layer
4,1701,4,12131,0.3023017037981132,within_layer
4,8465,4,4054,0.3015735430443088,within_layer
4,4245,4,5301,-0.3007449632256915,within_layer
4,12131,4,6680,0.3002129982678936,within_layer
8,10231,8,8066,1.0,within_layer
8,13853,8,16116,1.0,within_layer
8,13853,8,5257,1.0,within_layer
8,2985,8,9432,1.0,within_layer
8,2985,8,5215,1.0,within_layer
8,959,8,2930,1.0,within_layer
8,16116,8,5257,1.0,within_layer
8,9432,8,5215,1.0,within_layer
8,9764,8,8388,1.0,within_layer
8,4924,8,6405,0.9999999999999998,within_layer
8,14955,8,9764,0.9999999999999998,within_layer
8,14232,8,5879,0.9999999999999997,within_layer
8,14955,8,8388,0.9999999999999994,within_layer
8,8066,8,2406,0.9999999999999982,within_layer
8,10231,8,2406,0.9999999999999971,within_layer
8,11151,8,9817,0.9696888388796867,within_layer
8,1869,8,10906,0.9640698209103264,within_layer
8,5772,8,9817,0.9390913276186779,within_layer
8,5772,8,13324,0.90338079026947,within_layer
8,3957,8,10090,0.8983430288971757,within_layer
8,3305,8,12681,0.8799895690436172,within_layer
8,891,8,1869,0.8693324177406284,within_layer
8,6575,8,1687,0.8526695819198454,within_layer
8,13324,8,9817,0.840248554911513,within_layer
8,5772,8,11151,0.8373844422623059,within_layer
8,3397,8,15075,0.8357839061702829,within_layer
8,491,8,3621,0.8223708194347389,within_layer
8,9764,8,3305,0.7926761120914295,within_layer
8,8388,8,3305,0.7926761120914294,within_layer
8,14955,8,3305,0.7926761120914279,within_layer
8,13271,8,3397,0.7880991864755178,within_layer
8,891,8,10906,0.7862071363893737,within_layer
8,279,8,3397,0.7826408702051406,within_layer
8,12834,8,8210,0.7759854287959123,within_layer
8,1735,8,10458,0.769530965129602,within_layer
8,2985,8,891,0.7636724526079232,within_layer
8,5215,8,891,0.7636724526079207,within_layer
8,9432,8,891,0.7636724526079195,within_layer
8,12834,8,10836,0.7574947663253121,within_layer
8,8210,8,10836,0.75586076720633,within_layer
8,7458,8,13025,0.7444641248525431,within_layer
8,279,8,15075,0.7389347520745188,within_layer
8,11095,8,12834,0.7384930981374209,within_layer
8,9961,8,1687,0.7322993917297216,within_layer
8,2985,8,10906,0.7270147438503307,within_layer
8,9432,8,10906,0.7270147438503295,within_layer
8,5215,8,10906,0.7270147438503288,within_layer
8,3305,8,10836,0.7264904039781191,within_layer
8,2985,8,1869,0.7177362340056316,within_layer
8,9432,8,1869,0.7177362340056286,within_layer
8,5215,8,1869,0.7177362340056281,within_layer
8,13324,8,11151,0.7162654290502481,within_layer
8,8066,8,4096,0.71561941699335,within_layer
8,2406,8,4096,0.7156194169933485,within_layer
8,10231,8,4096,0.715619416993347,within_layer
8,3305,8,302,0.7102798781911586,within_layer
8,2930,8,5189,0.7018204265397421,within_layer
8,959,8,5189,0.701820426539742,within_layer
8,491,8,9481,0.6995249157523761,within_layer
8,3255,8,8993,0.6990101602582067,within_layer
8,6934,8,10641,0.6972427623747974,within_layer
8,4096,8,12681,0.6962194220102903,within_layer
8,2457,8,5410,0.6956957689509027,within_layer
8,7024,8,815,0.6885062441526276,within_layer
8,15971,8,12834,0.6665318170736408,within_layer
8,13271,8,15075,0.6637802202546706,within_layer
8,8388,8,302,0.6541522710712879,within_layer
8,14955,8,302,0.6541522710712876,within_layer
8,9764,8,302,0.6541522710712874,within_layer
8,9961,8,6575,0.6481190895192773,within_layer
8,12681,8,10836,0.6461358432342036,within_layer
8,15075,8,2024,-0.6449848163767202,within_layer
8,12681,8,302,0.6434668178972933,within_layer
8,1735,8,13271,0.6372871522716409,within_layer
8,13935,8,8993,0.6331772135019151,within_layer
8,8993,8,3656,0.6294112137365385,within_layer
8,2024,8,9213,0.6266064512378463,within_layer
8,10090,8,3656,0.6246445756351262,within_layer
8,9353,8,1735,0.6138425412073888,within_layer
8,13271,8,279,0.6133587873111228,within_layer
8,3397,8,2024,-0.6099485730710406,within_layer
8,9353,8,13271,0.5986608276231024,within_layer
8,1586,8,1735,0.5942542862174008,within_layer
8,15971,8,8210,0.5932399756271481,within_layer
8,13324,8,7024,0.5825913559783348,within_layer
8,11095,8,10836,0.5786503428688919,within_layer
8,9481,8,3621,0.5709891131307658,within_layer
8,9961,8,3621,0.5603546432093995,within_layer
8,8993,8,10090,0.5585204085671992,within_layer
8,10458,8,12896,0.5568864821188415,within_layer
8,14955,8,12681,0.5459701680941846,within_layer
8,9764,8,12681,0.5459701680941845,within_layer
8,8388,8,12681,0.5459701680941845,within_layer
8,10458,8,13271,0.5379437143801901,within_layer
8,13271,8,2024,-0.5268437699973341,within_layer
8,9949,8,3294,0.5240306989048694,within_layer
8,10524,8,13271,0.5179732988131541,within_layer
8,3451,8,3255,0.5146726393974207,within_layer
8,1869,8,3294,0.5059782725747978,within_layer
8,11095,8,8210,0.5043011889372668,within_layer
8,7024,8,9706,0.4984165954128513,within_layer
8,3957,8,3656,0.4947611545810334,within_layer
8,10524,8,3397,0.48600288394421376,within_layer
8,10524,8,279,0.4838190527180033,within_layer
8,15971,8,10836,0.48361594481208175,within_layer
8,10906,8,3294,0.4764075474236057,within_layer
8,815,8,9706,0.4753723726755271,within_layer
8,10684,8,14783,0.4636724067637883,within_layer
8,10524,8,1735,0.4589807548051542,within_layer
8,14248,8,10090,0.45406976718950137,within_layer
8,3397,8,9213,-0.45240061827775685,within_layer
8,14955,8,10836,0.452088059517295,within_layer
8,8388,8,10836,0.4520880595172947,within_layer
8,9764,8,10836,0.452088059517294,within_layer
8,14857,8,3957,0.450186730409255,within_layer
8,1735,8,3397,0.44918226698540326,within_layer
8,9353,8,3397,0.4353589079161585,within_layer
8,302,8,3397,0.43379459298053186,within_layer
8,15075,8,9213,-0.4311578739705206,within_layer
8,13540,8,5410,0.43063789414312303,within_layer
8,11095,8,3305,0.41977212317340556,within_layer
8,3957,8,8993,0.41862857804877945,within_layer
8,3255,8,3656,0.418409955552474,within_layer
8,279,8,2024,-0.41707434363821855,within_layer
8,10524,8,15075,0.41224723847994826,within_layer
8,13324,8,9706,0.4105228990659885,within_layer
8,9710,8,2457,0.4021491501183676,within_layer
8,3621,8,1687,0.4019121613228957,within_layer
8,891,8,3294,0.40181596357576316,within_layer
8,10836,8,302,0.3998632145462673,within_layer
8,1586,8,10458,0.3979978690000838,within_layer
8,302,8,15075,0.39608751115213925,within_layer
8,10458,8,3397,0.39471625517798226,within_layer
8,14857,8,10090,0.3925533126958844,within_layer
8,8198,8,5410,0.3925072262683211,within_layer
8,5189,8,3656,0.38869380377208185,within_layer
8,302,8,279,0.3870826519496556,within_layer
8,3255,8,13540,0.38505332250178476,within_layer
8,13271,8,9213,-0.3839488398404889,within_layer
8,57,8,3957,0.3835291350270173,within_layer
8,11095,8,12681,0.38126550451309416,within_layer
8,302,8,13271,0.379716052042081,within_layer
8,5772,8,9706,0.37933418401539165,within_layer
8,2284,8,3294,0.3769321341610638,within_layer
8,2284,8,9949,0.3756731318715797,within_layer
8,1586,8,9353,0.37360863040917625,within_layer
8,10231,8,8210,0.37051146513937494,within_layer
8,2406,8,8210,0.37051146513937405,within_layer
8,8066,8,8210,0.37051146513937355,within_layer
8,1735,8,279,0.36986128809991603,within_layer
8,9353,8,10458,0.36882014125062657,within_layer
8,1687,8,9213,0.366061010501438,within_layer
8,6575,8,7024,0.3582224193363015,within_layer
8,3621,8,6575,0.3565371012150357,within_layer
8,10524,8,10458,0.3529603893095056,within_layer
8,9353,8,302,0.35288614061339907,within_layer
8,13324,8,815,0.3527450899869168,within_layer
8,7458,8,5410,0.3502055942796584,within_layer
8,5257,8,2457,0.34960613629859855,within_layer
8,16116,8,2457,0.3496061362985985,within_layer
8,13853,8,2457,0.34960613629859827,within_layer
8,6405,8,11069,0.3486624348489197,within_layer
8,4924,8,11069,0.3486624348489196,within_layer
8,2406,8,12681,0.3458275792232415,within_layer
8,10231,8,12681,0.3458275792232407,within_layer
8,8066,8,12681,0.34582757922324064,within_layer
8,14248,8,8993,0.3452600596488294,within_layer
8,12681,8,279,0.3444664069312032,within_layer
8,5772,8,7024,0.3441833487343209,within_layer
8,13935,8,3656,0.3421379167776796,within_layer
8,9949,8,12896,0.3420586097704463,within_layer
8,9817,8,9706,0.3420247239730543,within_layer
8,2446,8,2457,0.3409680108543199,within_layer
8,9353,8,15075,0.3393234567442085,within_layer
8,1687,8,2024,0.3355508043328595,within_layer
8,9353,8,279,0.33223703206441,within_layer
8,13025,8,5410,0.3267466602644457,within_layer
8,13935,8,3255,0.3260887977999031,within_layer
8,8198,8,13540,0.32283151210380306,within_layer
8,6575,8,815,0.3218148231907612,within_layer
8,14248,8,3957,0.3209270985947368,within_layer
8,9353,8,2024,-0.3198655924424246,within_layer
8,279,8,9213,-0.313462532310097,within_layer
8,1735,8,15075,0.31150701199728265,within_layer
8,8210,8,12681,0.3095441000654962,within_layer
8,9949,8,9213,0.3094086511456321,within_layer
8,3255,8,10090,0.3088895155707199,within_layer
8,7024,8,9817,0.30783390465975796,within_layer
8,6575,8,9213,0.3069482705005415,within_layer
8,279,8,5410,-0.3054248862322313,within_layer
8,9481,8,10458,0.3016834403993584,within_layer
8,12834,8,3305,0.3012279038185024,within_layer
8,6575,8,2024,0.30041071850159706,within_layer
12,12234,12,5416,1.0,within_layer
12,1455,12,525,1.0,within_layer
12,7827,12,3404,1.0,within_layer
12,3404,12,6521,1.0,within_layer
12,6521,12,10090,1.0,within_layer
12,7827,12,10090,0.9999999999999997,within_layer
12,3404,12,10090,0.999999999999999,within_layer
12,12234,12,7989,0.9999999999999986,within_layer
12,11574,12,11032,0.9999999999999982,within_layer
12,5416,12,7989,0.9999999999999979,within_layer
12,7827,12,6521,0.9999999999999966,within_layer
12,5152,12,8737,0.9999188611866046,within_layer
12,5152,12,2046,0.991861611030007,within_layer
12,8737,12,2046,0.9901592503224916,within_layer
12,1208,12,12780,0.9887335617954285,within_layer
12,5416,12,12342,0.8343826395324878,within_layer
12,12234,12,12342,0.8343826395324856,within_layer
12,7989,12,12342,0.8343826395324826,within_layer
12,8915,12,12210,0.8052460626467117,within_layer
12,3404,12,12780,0.7587798929104318,within_layer
12,10090,12,12780,0.7587798929104299,within_layer
12,6521,12,12780,0.7587798929104296,within_layer
12,7827,12,12780,0.7587798929104235,within_layer
12,3692,12,1208,0.7507471918706888,within_layer
12,5129,12,4560,0.7153226845833744,within_layer
12,12234,12,10967,0.6961492736822231,within_layer
12,5416,12,10967,0.6961492736822222,within_layer
12,7989,12,10967,0.6961492736822215,within_layer
12,9766,12,8737,0.6795067987674099,within_layer
12,11574,12,3226,0.6717414512234796,within_layer
12,11032,12,3226,0.6717414512234778,within_layer
12,9766,12,5152,0.670105771320862,within_layer
12,1005,12,12120,0.6671746463197887,within_layer
12,10090,12,1208,0.6527335024372092,within_layer
12,7827,12,1208,0.6527335024372064,within_layer
12,3404,12,1208,0.6527335024372042,within_layer
12,6521,12,1208,0.6527335024372035,within_layer
12,3692,12,12780,0.6434078265770948,within_layer
12,10967,12,12342,0.5749359965532133,within_layer
